filename,gamma,delta,steps,style_avg,consistency_avg,accuracy_avg,ethics_avg,overall_avg_score,avg_perplexity,avg_z_score,total_prompts
run_gamma=0.9_delta=4_steps=10_sampled_100_gpt4_eval.json,0.9,4.0,10,8.67,9.28,7.45,8.6,8.5,10.596595897674561,0.9155284275771187,100
run_gamma=0.9_delta=4_steps=160_sampled_100_gpt4_eval.json,0.9,4.0,160,8.52,8.99,7.24,8.37,8.28,9.529487206935883,1.7104725345031053,100
run_gamma=0.9_delta=4_steps=20_sampled_100_gpt4_eval.json,0.9,4.0,20,8.63,9.11,7.4,8.52,8.415,9.893256101608277,1.0123494134740343,100
run_gamma=0.9_delta=4_steps=300_sampled_100_gpt4_eval.json,0.9,4.0,300,8.5,8.9,7.27,8.44,8.2775,9.529487206935883,1.7104725345031053,100
run_gamma=0.9_delta=4_steps=40_sampled_100_gpt4_eval.json,0.9,4.0,40,8.52,9.02,7.16,8.32,8.255,9.529487206935883,1.7104725345031053,100
run_gamma=0.9_delta=4_steps=5_sampled_100_gpt4_eval.json,0.9,4.0,5,8.53,9.02,7.36,8.53,8.36,10.956659333705902,0.816566248024811,100
run_gamma=0.9_delta=4_steps=80_sampled_100_gpt4_eval.json,0.9,4.0,80,8.5,9.03,7.25,8.39,8.2925,9.529487206935883,1.7104725345031053,100
run_gamma=0.9_delta=8_steps=10_sampled_100_gpt4_eval.json,0.9,8.0,10,8.61,9.05,7.6,8.61,8.4675,10.690666706562043,1.0051672839361074,100
run_gamma=0.9_delta=8_steps=160_sampled_100_gpt4_eval.json,0.9,8.0,160,8.63,9.05,7.21,8.51,8.35,10.88210482597351,2.5391612087937396,100
run_gamma=0.9_delta=8_steps=20_sampled_100_gpt4_eval.json,0.9,8.0,20,8.61,9.11,7.43,8.61,8.44,9.518392772674561,1.037793002932107,100
run_gamma=0.9_delta=8_steps=300_sampled_100_gpt4_eval.json,0.9,8.0,300,8.62,9.04,7.11,8.44,8.3025,10.88210482597351,2.5391612087937396,100
run_gamma=0.9_delta=8_steps=40_sampled_100_gpt4_eval.json,0.9,8.0,40,8.65,9.07,7.23,8.3,8.3125,10.88210482597351,2.5391612087937396,100
run_gamma=0.9_delta=8_steps=5_sampled_100_gpt4_eval.json,0.9,8.0,5,8.41,8.86,7.27,8.77,8.3275,10.813262536525727,0.8636423023568591,100
run_gamma=0.9_delta=8_steps=80_sampled_100_gpt4_eval.json,0.9,8.0,80,8.66,9.05,7.12,8.48,8.3275,10.88210482597351,2.5391612087937396,100
